survey_date,ip_base,ip_6m_forecast,ip_12m_forecast,survey_month,target_month,predicted_state,actual_state,hit
1946-06,152.0,180.0,,1946-06,1946-12,expansion,expansion,True
1946-12,177.0,167.5,159.0,1946-12,1947-06,recession,expansion,False
1947-06,189.0,171.0,162.5,1947-06,1947-12,recession,expansion,False
1947-12,185.0,185.0,175.0,1947-12,1948-06,expansion,expansion,True
1948-06,192.0,195.0,195.0,1948-06,1948-12,expansion,recession,False
1948-12,191.0,190.0,187.0,1948-12,1949-06,recession,recession,True
1949-06,184.0,165.0,163.5,1949-06,1949-12,recession,expansion,False
1949-12,172.0,171.0,165.0,1949-12,1950-06,recession,expansion,False
1950-06,186.0,190.0,183.5,1950-06,1950-12,expansion,expansion,True
1950-12,210.0,220.0,230.0,1950-12,1951-06,expansion,expansion,True
1951-06,222.0,230.0,236.0,1951-06,1951-12,expansion,expansion,True
1951-12,219.0,228.0,231.5,1951-12,1952-06,expansion,expansion,True
1952-06,220.0,224.0,222.0,1952-06,1952-12,expansion,expansion,True
1952-12,225.0,229.25,222.75,1952-12,1953-06,expansion,expansion,True
1953-06,242.0,232.0,225.0,1953-06,1953-12,recession,recession,True
1953-12,232.0,220.0,220.0,1953-12,1954-06,recession,expansion,False
1954-06,123.0,125.0,126.0,1954-06,1954-12,expansion,expansion,True
1954-12,125.0,130.0,132.0,1954-12,1955-06,expansion,expansion,True
1955-06,136.0,139.0,140.0,1955-06,1955-12,expansion,expansion,True
1955-12,141.0,144.0,142.0,1955-12,1956-06,expansion,expansion,True
1956-06,142.0,142.5,143.0,1956-06,1956-12,expansion,expansion,True
1956-12,145.0,148.0,148.0,1956-12,1957-06,expansion,expansion,True
1957-06,145.0,146.0,147.0,1957-06,1957-12,expansion,recession,False
1957-12,142.0,138.0,142.0,1957-12,1958-06,recession,expansion,False
1958-06,128.0,130.0,137.0,1958-06,1958-12,expansion,expansion,True
1958-12,138.0,145.0,149.0,1958-12,1959-06,expansion,expansion,True
1959-06,149.0,153.0,156.0,1959-06,1959-12,expansion,expansion,True
1959-12,148.0,159.0,160.0,1959-12,1960-06,expansion,recession,False
1960-06,109.0,111.0,112.0,1960-06,1960-12,expansion,recession,False
1960-12,107.0,107.0,111.5,1960-12,1961-06,expansion,expansion,True
1961-06,105.0,112.0,118.0,1961-06,1961-12,expansion,expansion,True
1961-12,113.0,120.0,123.0,1961-12,1962-06,expansion,expansion,True
1962-06,117.0,120.0,120.0,1962-06,1962-12,expansion,expansion,True
1962-12,119.5,122.0,123.0,1962-12,1963-06,expansion,expansion,True
1963-06,122.4,125.0,127.0,1963-06,1963-12,expansion,expansion,True
1963-12,126.6,130.0,131.0,1963-12,1964-06,expansion,expansion,True
1964-06,129.2,133.0,135.0,1964-06,1964-12,expansion,expansion,True
1964-12,131.7,137.4,139.0,1964-12,1965-06,expansion,expansion,True
1965-06,140.8,142.75,144.0,1965-06,1965-12,expansion,expansion,True
1965-12,143.6,147.2,150.0,1965-12,1966-06,expansion,expansion,True
1966-06,153.4,158.0,160.0,1966-06,1966-12,expansion,expansion,True
1966-12,158.6,162.0,163.25,1966-12,1967-06,expansion,expansion,True
1967-06,155.9,160.0,164.0,1967-06,1967-12,expansion,expansion,True
1967-12,157.6,162.1,165.1,1967-12,1968-06,expansion,expansion,True
1968-06,162.7,165.0,167.0,1968-06,1968-12,expansion,expansion,True
1968-12,165.0,167.0,170.0,1968-12,1969-06,expansion,expansion,True
1969-06,171.5,173.0,174.0,1969-06,1969-12,expansion,expansion,True
1969-12,173.3,172.0,175.0,1969-12,1970-06,recession,recession,True
1970-06,170.4,171.85,175.0,1970-06,1970-12,expansion,expansion,True
1970-12,162.3,172.0,176.0,1970-12,1971-06,expansion,expansion,True
1971-06,166.0,171.0,176.0,1971-06,1971-12,expansion,expansion,True
1971-12,106.3,111.2,116.9,1971-12,1972-06,expansion,expansion,True
1972-06,110.9,117.0,120.0,1972-06,1972-12,expansion,expansion,True
1972-12,116.7,121.5,124.85,1972-12,1973-06,expansion,expansion,True
1973-06,123.0,127.5,130.0,1973-06,1973-12,expansion,recession,False
1973-12,127.8,127.0,129.1,1973-12,1974-06,recession,recession,True
1974-06,124.7,127.0,129.75,1974-06,1974-12,expansion,recession,False
1974-12,123.0,120.1,123.2,1974-12,1975-06,recession,expansion,False
1975-06,109.4,114.0,119.8,1975-06,1975-12,expansion,expansion,True
1975-12,116.5,123.0,128.0,1975-12,1976-06,expansion,expansion,True
1976-06,122.5,129.0,133.0,1976-06,1976-12,expansion,expansion,True
1976-12,130.4,136.25,140.9,1976-12,1977-06,expansion,expansion,True
1977-06,136.1,142.8,147.1,1977-06,1977-12,expansion,expansion,True
1977-12,139.1,144.4,148.0,1977-12,1978-06,expansion,expansion,True
1978-06,142.5,147.4,150.0,1978-06,1978-12,expansion,expansion,True
1978-12,148.4,150.0,149.0,1978-12,1979-06,expansion,expansion,True
1979-06,150.5,148.0,150.8,1979-06,1979-12,recession,expansion,False
1979-12,152.5,145.0,148.75,1979-12,1980-06,recession,recession,True
1980-06,148.5,140.0,145.0,1980-06,1980-12,recession,expansion,False
1980-12,146.0,148.0,152.0,1980-12,1981-06,expansion,expansion,True
1981-06,152.8,156.0,161.0,1981-06,1981-12,expansion,recession,False
1981-12,149.5,149.4,155.05,1981-12,1982-06,recession,recession,True
1982-06,140.7,146.0,150.55,1982-06,1982-12,expansion,expansion,True
1982-12,136.3,141.5,147.2,1982-12,1983-06,expansion,expansion,True
1983-06,142.6,149.4,154.0,1983-06,1983-12,expansion,expansion,True
1983-12,154.8,161.0,165.0,1983-12,1984-06,expansion,expansion,True
1984-06,163.1,168.0,170.0,1984-06,1984-12,expansion,expansion,True
1984-12,165.2,169.0,171.5,1984-12,1985-06,expansion,expansion,True
1985-06,165.4,169.0,171.0,1985-06,1985-12,expansion,expansion,True
1985-12,124.9,127.25,130.0,1985-12,1986-06,expansion,expansion,True
1986-06,125.1,128.5,131.0,1986-06,1986-12,expansion,expansion,True
1986-12,125.2,127.0,129.0,1986-12,1987-06,expansion,expansion,True
1987-06,126.3,129.1,131.25,1987-06,1987-12,expansion,expansion,True
1987-12,131.7,133.3,135.3,1987-12,1988-06,expansion,expansion,True
1988-06,135.6,138.6,140.65,1988-06,1988-12,expansion,expansion,True
1988-12,139.2,141.45,143.0,1988-12,1989-06,expansion,expansion,True
1989-06,141.1,142.8,144.0,1989-06,1989-12,expansion,expansion,True
1989-12,141.4,143.0,144.6,1989-12,1990-06,expansion,expansion,True
1990-06,108.7,110.2,111.7,1990-06,1990-12,expansion,recession,False
1990-12,109.6,108.3,110.0,1990-12,1991-06,recession,expansion,False
1991-06,105.1,107.5,110.05,1991-06,1991-12,expansion,expansion,True
1991-12,108.2,110.0,112.65,1991-12,1992-06,expansion,expansion,True
1992-06,108.2,111.5,113.9,1992-06,1992-12,expansion,expansion,True
1992-12,109.0,112.0,114.35,1992-12,1993-06,expansion,expansion,True
1993-06,110.0,112.8,115.15,1993-06,1993-12,expansion,expansion,True
1993-12,112.2,115.3,117.2,1993-12,1994-06,expansion,expansion,True
1994-06,116.0,118.8,120.45,1994-06,1994-12,expansion,expansion,True
1994-12,119.8,122.3,124.07,1994-12,1995-06,expansion,expansion,True
1995-06,121.1,122.55,124.5,1995-06,1995-12,expansion,expansion,True
1995-12,122.68,125.0,126.8,1995-12,1996-06,expansion,expansion,True
1996-06,124.5,126.8,128.1,1996-06,1996-12,expansion,expansion,True
1996-12,126.6,129.1,130.7,1996-12,1997-06,expansion,expansion,True
1997-06,119.0,121.75,123.0,1997-06,1997-12,expansion,expansion,True
1997-12,122.7,125.0,126.6,1997-12,1998-06,expansion,expansion,True
1998-06,127.8,130.1,132.0,1998-06,1998-12,expansion,expansion,True
1998-12,132.0,133.9,135.4,1998-12,1999-06,expansion,expansion,True
1999-06,134.0,136.2,137.8,1999-06,1999-12,expansion,expansion,True
1999-12,132.4,141.1,143.08,1999-12,2000-06,expansion,expansion,True
2000-06,143.7,146.0,148.2,2000-06,2000-12,expansion,expansion,True
2000-12,148.9,151.65,154.2,2000-12,2001-06,expansion,recession,False
2001-06,144.9,147.0,150.0,2001-06,2001-12,expansion,expansion,True
2001-12,139.3,138.95,142.05,2001-12,2002-06,recession,expansion,False
2002-06,139.2,143.6,147.3,2002-06,2002-12,expansion,expansion,True
2002-12,139.3,142.6,145.8,2002-12,2003-06,expansion,expansion,True
2003-06,109.7,111.9,114.7,2003-06,2003-12,expansion,expansion,True
2003-12,111.8,115.85,119.5,2003-12,2004-06,expansion,expansion,True
2004-06,115.4,119.6,122.6,2004-06,2004-12,expansion,expansion,True
2004-12,117.6,121.1,123.5,2004-12,2005-06,expansion,expansion,True
2005-06,118.3,121.57,124.0,2005-06,2005-12,expansion,expansion,True
2005-12,107.9,110.9,113.09,2005-12,2006-06,expansion,expansion,True
2006-06,112.3,115.0,116.72,2006-06,2006-12,expansion,expansion,True
2006-12,113.7,115.9,117.5,2006-12,2007-06,expansion,expansion,True
2007-06,113.0,115.0,116.61,2007-06,2007-12,expansion,expansion,True
2007-12,114.0,116.1,117.63,2007-12,2008-06,expansion,recession,False
2008-06,111.2,112.88,114.21,2008-06,2008-12,expansion,recession,False
2008-12,107.3,105.68,105.97,2008-12,2009-06,recession,recession,True
2009-06,97.1,96.35,97.68,2009-06,2009-12,recession,expansion,False
2009-12,98.6,101.8,104.2,2009-12,2010-06,expansion,expansion,True
2010-06,102.3,106.0,108.05,2010-06,2010-12,expansion,expansion,True
2010-12,93.4,95.47,97.55,2010-12,2011-06,expansion,expansion,True
2011-06,93.1,95.9,98.0,2011-06,2011-12,expansion,expansion,True
2011-12,94.7,96.39,97.94,2011-12,2012-06,expansion,expansion,True
2012-06,97.4,99.1,100.6,2012-06,2012-12,expansion,expansion,True
2012-12,96.6,98.6,100.1,2012-12,2013-06,expansion,expansion,True
2013-06,98.7,100.82,102.58,2013-06,2013-12,expansion,expansion,True
2013-12,100.0,102.04,103.65,2013-12,2014-06,expansion,expansion,True
2014-06,102.7,105.13,107.03,2014-06,2014-12,expansion,expansion,True
2014-12,104.9,107.06,109.02,2014-12,2015-06,expansion,expansion,True
2015-06,105.2,107.3,108.94,2015-06,2015-12,expansion,expansion,True
2015-12,107.2,108.58,110.3,2015-12,2016-06,expansion,expansion,True
2016-06,104.1,105.3,106.58,2016-06,2016-12,expansion,expansion,True
2016-12,104.3,105.49,106.58,2016-12,2017-06,expansion,expansion,True
2017-06,105.1,106.45,107.45,2017-06,2017-12,expansion,expansion,True
2017-12,106.1,107.41,108.71,2017-12,2018-06,expansion,expansion,True
2018-06,107.3,109.22,110.65,2018-06,2018-12,expansion,expansion,True
2018-12,109.1,110.6,111.94,2018-12,2019-06,expansion,expansion,True
2019-06,109.2,110.99,111.5,2019-06,2019-12,expansion,expansion,True
2019-12,108.7,110.28,111.07,2019-12,2020-06,expansion,expansion,True
2020-06,92.6,98.0,103.29,2020-06,2020-12,expansion,expansion,True
2020-12,103.2,105.75,108.12,2020-12,2021-06,expansion,expansion,True
2021-06,106.3,111.02,113.51,2021-06,2021-12,expansion,expansion,True
2021-12,101.6,104.05,105.8,2021-12,2022-06,expansion,expansion,True
2022-06,105.6,107.15,108.73,2022-06,2022-12,expansion,expansion,True
2022-12,104.7,105.05,103.94,2022-12,2023-06,expansion,expansion,True
2023-06,103.0,102.14,102.14,2023-06,2023-12,recession,expansion,False
2023-12,102.7,103.3,103.38,2023-12,2024-06,expansion,expansion,True
2024-06,102.8,103.65,104.57,2024-06,2024-12,expansion,expansion,True
2024-12,102.3,103.35,104.11,2024-12,2025-06,expansion,expansion,True
2025-06,103.9,103.78,103.51,2025-06,2025-12,recession,expansion,False
2025-12,103.98,103.43,104.1,2025-12,2026-06,recession,expansion,False
2026-06,102.5,102.89,103.31,2026-06,2026-12,expansion,expansion,True
