speaker_name,publisher,state,date,episode,quote,predicted_label,realized_label,confidence,hit
President Roosevelt,"seward weekly gateway (seward, alaska) 1905-1914",alaska,1907-11-09,1907 Panic,WILL NOT CALL EXTRA SESSION President Roosevelt Thinks It Un necessary as Panic Is Nearly Over.,improve,improve,assertive,1.0
Kann,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-01-19,1907 Panic,IT see no reason for any but bright view of the coming year.\u201d Kann Sees Reason To Keep Expanding The confidence of 8.,improve,improve,assertive,1.0
Harriman,the san francisco call (san francisco [calif.]) 1895-1913,california,1908-05-17,1907 Panic,"FIRST NEWS SECTION PROSPERITY ON ITS WAY BACK, SAYS HARRIMAN Declares Business Outlook Is Excellent and Crops All Good Says There Has Been Too Much Unrest Among the Whole People Asserts He Is Out of Politics.",improve,improve,assertive,1.0
Chairman Simmons,waterbury evening democrat (waterbury [connecticut]) 1903-1917,connecticut,1908-05-02,1907 Panic,"We are confident that if the business men of the United States join in the St Louis movement prosperity will be at full tide before the end of the year and that 1!K)9 will be the best business year our country has known.\"" Chairman Simmons said: \""We have formed a business organi sation having for its object the encour agement of a return of prosperity sooner than might otherwise occur without help.",improve,improve,assertive,1.0
Chairman Simmons,"perth amboy evening news (perth amboy, n.j.) 1903-1959",new jersey,1908-05-02,1907 Panic,"Coule movement prosperity will be at full tide before the end of the yeai and that 1009 will be the best business year our country has known.\"" Chairman Simmons said: \""We have formed a business organi sation having for its object the encour agement of a return of prosperity lopner than might otherwise occui without help.",improve,improve,assertive,1.0
Schwab,"the birmingham age-herald (birmingham, ala.) 1902-1950",alabama,1921-03-05,1920 Depression,"SCHWAB, New York, Chairman of Board, BetWTBhem Steel Corporation: \u201cOut of the present business depression there will come a sounder basis for the nation's activities and busineas will go forward with a buoy ancy and force we have never known before, aa a result of reorganization.",improve,improve,assertive,1.0
Senator Harding,"the tri-county news (grand rapids, ohio) 1915-1949",ohio,1921-01-19,1920 Depression,"Current comment on the business outlook is optimistic, and is typified by Senator Harding\u2019s comforting as surances.",improve,improve,assertive,1.0
Johnston,"the new york herald (new york, n.y.) 1920-1924",new york,1921-01-21,1920 Depression,Johnston Seo* 1 ni-; proved Business Outlook All Over f'oHntry.,improve,improve,assertive,1.0
Meherin,"the alaska daily empire (juneau, alaska) 1912-1926",alaska,1921-02-28,1920 Depression,I 1 LOCAL FIRM TO ENTER JOBBING BUSINESS HEBE Olson Meherin Branching Out\u2014Business Outlook Is Good Savs Meherin.,improve,improve,assertive,1.0
McGraw,the washington times (washington [d.c.]) 1902-1939,district of columbia,1938-01-03,1937 Recession,TafapAona KE publie 1234 Business Outlook Best Since \u201932\u2014-McGraw Publisher Sees Great Opportunities For Industry to Expand \u201cThe year 1938 should not be a year of -depression.,improve,improve,assertive,1.0
Loy,"roanoke rapids herald (roanoke rapids, n.c.) 1931-1948",north carolina,1938-01-20,1937 Recession,"Loy, local manager of Leg gett\u2019s, was very optimistic over the prospects for their January Sale, as well as the business outlook as a whole for the year 1938, when interviewed the first of the week.",improve,improve,assertive,1.0
Knudsen,the washington times (washington [d.c.]) 1902-1939,district of columbia,1938-03-01,1937 Recession,"That same fearlessness is evident to- I day as a united industry moves forward to start the wheels rolling again.\u201d 1 Knudsen, head of the gigantic 1 General Motors Corporation, |i stressed the added highway safety i, that will come with the junking of mechanically imperfect cars.",improve,improve,assertive,1.0
Bishop Moore,"evening star (washington, d.c.) 1854-1972",district of columbia,1938-03-20,1937 Recession,"\u201cThe United States, soon to be as sured of peace within itself, is on the way to the greatest business revival enjoyed for years.\u201d TO ADDRESS ALUMNI Bishop Moore Will Tell of Needs at Handolph-Macon.",improve,improve,assertive,1.0
Roger Babson,"the wilmington morning star (wilmington, n.c.) 1909-1990",north carolina,1946-05-31,1945 Reconversion,"Elizabeth Pemberton Dean CHEERING NEWS Summer Business Outlook Bright, Babson Declares Noted Economist Predicts Good Retail, Tourist Trade This Year By ROGER W.",improve,improve,assertive,1.0
Strawn,"the wilmington morning star (wilmington, n.c.) 1909-1990",north carolina,1946-02-17,1945 Reconversion,"\u201cThe business outlook for Wil mington is very good,\u201d says Strawn.",improve,improve,assertive,1.0
Blackall,"the waterbury democrat (waterbury, conn.) 1917-1946",connecticut,1946-03-23,1945 Reconversion,"New England Facing Excellent Prospects Blackall Claims Region\u2019s Business Outlook Brightest in Years: High Production Peaks Seen Providence, R.",improve,improve,assertive,1.0
"Frederick S. Blackall, Jr","the waterbury democrat (waterbury, conn.) 1917-1946",connecticut,1946-03-23,1945 Reconversion,"I., March 33\u2014(UP) \u2014New England Is facing Us bright est business outlook In years, ac cording to President Frederick S, Blackall, Jr\u201e of the New England Council who said today that the re gion's industries should soon enjoy high production peaks.",improve,improve,assertive,1.0
Mr.,"evening star (washington, d.c.) 1854-1972",district of columbia,1945-08-07,1945 Reconversion,"Net earnings for both periods will be very materially reduced, Mr.",worsen,worsen,assertive,1.0
Jones,"detroit evening times (detroit, mich) 1921-1958",michigan,1945-10-07,1945 Reconversion,"June*, former secretary of commerce anti federal loan administrator, discussing Ameri cas business outlook today, said he has always been an optimist and 1 m still an optimist.\u201d \u201cYankee enterprise will push the country along, declared Jones in talking to a group of 20 newspaper correspondents who visited his home town of Houston on their nation-wide tour of basic industries.",improve,improve,assertive,1.0
Krug,"the washington daily news (washington, d.c.) 1921-1972",district of columbia,1945-10-09,1945 Reconversion,"Krug\u2019s final report also forecast that the decline in industrial production and national income will be halted early in 1946 with the gross national output levelling off at a rate of around $155,- 000,000,000 a year.",no_change,no_change,assertive,1.0
Hoffman,"proletarec (chicago, ill.) 1906-19??",illinois,1946-01-30,1945 Reconversion,HOFFMAN'S REASSURNG FORECAST \u201cBig Business Executive Insists Reconversion Is Making Amazing Progress; No Occasion to Get Hysterical over Strikes On several occasions LABOR has pointed out the unfortunate j tendency in some quarters to over-emphasize the importance of strikes.,improve,improve,assertive,1.0
Johnson,"the omaha guide (omaha, neb.) 1927-19??",nebraska,1945-10-20,1945 Reconversion,Johnson also pointed out that this would provide the Government with ade quate revenue for its demobilizat ion program and that such a pro gram will boost purchasing power as well as contest pressure result ing from mass lay-offs and the re turn of discharged veterans.,improve,improve,assertive,1.0
Secretary Snyder,"evening star (washington, d.c.) 1854-1972",district of columbia,1949-03-31,1948 Recession,All four Democrats agreed with Secretary of the Treasury Snyder\u2019s press conference estimate yester day that the Nation is \u201cunder going healthy readjustment\u201d and the business outlook is for con tinued prosperity.,improve,improve,assertive,1.0
Nourse,"evening star (washington, d.c.) 1854-1972",district of columbia,1949-03-18,1948 Recession,"_ Nourse Optimistic On Business Outlook CHICAGO, Mar.",improve,improve,assertive,1.0
Earl O.,"the nome nugget (nome, alaska) 1938-current",alaska,1949-05-04,1948 Recession,"He added that it will bring \u201cover due relief to millions of consum er, Earl O.",improve,improve,assertive,1.0
Bureau of Agricultural Economics,"marion progress (marion, n.c.) 1909-19??",north carolina,1949-04-28,1948 Recession,"NO SERIOUS RECESSION The Bureau of Agricultural Economics, which has a good batting average on predic-j tions, says that there will be further declines J in industrial production, prices and consumer i incomes but no serious recession is in sight.",improve,improve,assertive,1.0
Kroll,"summit county labor news (akron, ohio) 1923-1976",ohio,1948-07-09,1948 Recession,"\u201cThis is a -most important prob lem,\u201d Kroll said, \u201cand it will grow in importance when this country suffers a recession.",worsen,worsen,assertive,1.0
President Eisenhower,"toledo union journal (toledo, ohio) 1942-current",ohio,1958-03-28,1957 Recession,"Increases i n unemployment, more temporary plant shutdowns 'and rises in exhaustion of un employment compensation bene fits contradicted a forecast by President Eisenhower that things would get better in March.",improve,improve,assertive,1.0
Lawrence,"the people's voice (helena, mont.) 1939-1969",montana,1957-08-16,1957 Recession,"The big question is, continued the Journal, \""whether the Administra tion should take the public into its confidence by trying to explain its goals and methods Lawrence put it this way; \""It's plainly evident that the Ad ministration has concluded that it can expect no help from either big business or big unions in restricting the wage-price spiral.",up,up,assertive,1.0
Weeks,"evening star (washington, d.c.) 1854-1972",district of columbia,1958-06-10,1957 Recession,"s Fall Business Outlook Bright, Weeks Says Secretary of Commerce Weeks today reported that i recent business statistics \u201chave looked better than at any time since the decline started last year.\"" \u201cTlie field day of the hand ringing pessimist is about over,\u201d I Mr.",improve,improve,assertive,1.0
Ralph Robey,"evening star (washington, d.c.) 1854-1972",district of columbia,1957-11-12,1957 Recession,"Addressing the annual meet- I ing of the National Lumber Manufacturers Association at the Shoreham Hotel, Ralph Robey, economic adviser 6f the National Association of Manu facturers, yesterday predicted 1 a tax cut will cause an eco nomic upturn in 1958.",improve,improve,assertive,1.0
Mr.,"evening star (washington, d.c.) 1854-1972",district of columbia,1957-11-12,1957 Recession,"and estimated hous ing starts in 1958 at \""close to the one million level.\u201d Expects Further Rise Mr.",improve,improve,assertive,1.0
Collins,"the key west citizen (key west, fla.) 1879-current",florida,1958-06-09,1957 Recession,Gains Reported In State Economy Cautious Optimism Advised By Collins TALLAHASSEE (APD-A slow ly rising economy in Florida that \u2022will pick up speed in the fall and return to normal about the end of the year is forecast by Gov.,improve,improve,assertive,1.0
Robert Nathan,"evening star (washington, d.c.) 1854-1972",district of columbia,1958-04-22,1957 Recession,"I a i By Economist Economist Robert Nathan, today told AFL-CIO leaders I here economic recovery will ye quire an 88 to 810 billion eut in taxes.",improve,improve,assertive,1.0
Mr.,"evening star (washington, d.c.) 1854-1972",district of columbia,1957-11-27,1957 Recession,"HU recovery will enable us to count upon hU contribution to the cause of the free world.\u201d However, Mr.",improve,improve,assertive,1.0
Slichter,"evening star (washington, d.c.) 1854-1972",district of columbia,1958-04-18,1957 Recession,Slichter aald hli gueu u that the first phaaa of eco nomic recovery will atart in thla second quarter 0f'1668.,improve,improve,assertive,1.0
Boyer,"the seattle republican (seattle, wash.) 1???-1915",washington,1905-08-18,1905 Calm (control),"Boyer, notwithstanding the dull times, reports a very good business outlook.",improve,improve,assertive,1.0
Kalish,"arizona republican (phoenix, ariz.) 1890-1930",arizona,1905-10-30,1905 Calm (control),"Kalish, and he is much encouragivl by j the business outlook.",improve,improve,assertive,1.0
O,"evening star (washington, d.c.) 1854-1972",district of columbia,1926-05-16,1925 Calm (control),Continuance of satisfactory busi ness conditions for the remainder of 1926 is forecast by O.,improve,improve,assertive,1.0
Mr.,the washington times (washington [d.c.]) 1902-1939,district of columbia,1925-10-28,1925 Calm (control),"\""The immediate business outlook is excellent and the future holds untold possibilities for this, the Capital of the most prosperous nation on earth.\u201d \u201cI doubt excedlngly,\u201d concluded Mr.",improve,improve,assertive,1.0
Julius M.,the washington times (washington [d.c.]) 1902-1939,district of columbia,1925-09-11,1925 Calm (control),GOLDENBERG A firm believer in the present and future business outlook in Washington is Julius M.,improve,improve,assertive,1.0
Mr.,the washington times (washington [d.c.]) 1902-1939,district of columbia,1925-09-11,1925 Calm (control),\u201cThe outlook for fall trade in Washington is fine.\u201d declared Mr.,improve,improve,assertive,1.0
Thomas Hickman,the washington times (washington [d.c.]) 1902-1939,district of columbia,1925-10-15,1925 Calm (control),"HICKMAN \u201cThere is nothing wrong with the business outlook anywhere in this country,\u201d said Vice President Thomas Hickman of the Frank lin National Bank today.",improve,improve,assertive,1.0
Vice President A,the washington times (washington [d.c.]) 1902-1939,district of columbia,1925-10-03,1925 Calm (control),"WALLER \""After an extended business trip to England and the Continent, I am more than ever convinced of the solid foundation of the present economic structure in the United' States and the general business outlook here,\u201d said Vice President A.",improve,improve,assertive,1.0
Charles M.,"evening star (washington, d.c.) 1854-1972",district of columbia,1926-04-09,1925 Calm (control),"V., April 9.\u2014\u201c1 r\u00bbm mi optimist on the business outlook.\"" Charles M.",improve,improve,assertive,1.0
Hall D.,"the bismarck tribune (bismarck, n.d.) 1916-current",north dakota,1926-05-15,1925 Calm (control),"For God\u2019s sake, haven\u2019t I had enough trouble today Business Outlook Is Good, Says Hall D.",improve,improve,assertive,1.0
W Kimball,"the bismarck tribune (bismarck, n.d.) 1916-current",north dakota,1926-05-15,1925 Calm (control),"W\\ Kimball company, manufacturers o\u2019, pianos, _ phono graphs and pipe <rgans, has just re turned 'from an \u00ab*<tended trip through the northweste n part of the stale and reports ai excellent business outlook.",improve,improve,assertive,1.0
Hammond,"belt valley times (armington, mont.) 1894-1977",montana,1925-07-23,1925 Calm (control),"Ham mond, of Helena, asserted hi* belief that the country was entering Into a cure and certain\"" return of prosperity and predicted a prosperous future.",improve,improve,assertive,1.0
Hammond,"the ronan pioneer (ronan, mont.) 1910-1970",montana,1925-07-17,1925 Calm (control),Ham mond asserted his belief that the country was entering into it \u201csure and certain\u201d return of prosperity and predicted a prosperous future.,improve,improve,assertive,1.0
Daniel W. Bell,"evening star (washington, d.c.) 1854-1972",district of columbia,1956-01-31,1955 Calm (control),"BELL Trade Board Speaker Bell Predicts '56 Prosperity Business in 1956 will be ex cellent by any standards even though it may not be the best., Daniel W.",improve,improve,assertive,1.0
Bell,"evening star (washington, d.c.) 1854-1972",district of columbia,1956-01-31,1955 Calm (control),"Bell said in an address to the Board of Trade annual j Business Outlook Conference that Washington would get Its share of the national prosperity.' \u201cWhen the rest of the country prospers,\u201d he explained, \u201cthat!",improve,improve,assertive,1.0
Philip M Talbott,"evening star (washington, d.c.) 1854-1972",district of columbia,1956-01-31,1955 Calm (control),r n Gain Seen Here In Retail Sales A prediction that increases In retail sales in Washington this year will run ahead of the na tional average was made today by Philip M Talbott in his Board of Trade business outlook speech.,improve,improve,assertive,1.0
Silverman,"the west end news (frederiksted, st. croix [v.i.]) 1912-1973",virgin islands,1956-02-13,1955 Calm (control),"Business Outlook For Virgin Islands Said Good Attorvey Silverman,!Pres.",improve,improve,assertive,1.0
Silvernian,"the west end news (frederiksted, st. croix [v.i.]) 1912-1973",virgin islands,1956-02-13,1955 Calm (control),"Silvernian thinks that broadening of the loan basis will prove a deceded stimulas for construction of See Page 4 Challenges Injustice To All 44th Year Citizens Organic Act 9e 3 Com\u2019it tee Appointed The Orgenic Act Committee of the Virgin Islande Legisla, ture elected its officers and members of an Advisoey Citi zens Committee 2t a meeting held in St.",improve,improve,assertive,1.0
Talbott,"evening star (washington, d.c.) 1854-1972",district of columbia,1956-05-26,1955 Calm (control),"MAT 2fi, 1956 [Business Outlook Good, Talbott Finds on Tour By DONALD B.",improve,improve,assertive,1.0
Albert Kruse,"the people's voice (helena, mont.) 1939-1969",montana,1955-07-22,1955 Calm (control),"Kruse Tells Havre Co-op Meeting Another 100,000 Farmers Will Be Forced OH the Land This Year As a result of the continuing cost-price squeeze on the na-* tion's agriculture government sources estimate that another 100,000 farmers will be forced off the land this year, State Commissioner of Agriculture Albert Kruse told more than 200 stockholders at the annual meeting of the Havre Farmers Grain Exchange, Wednesday.",up,up,assertive,1.0
Charles A,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,1907 Panic,"\""Even under present conditions the business outlook appears to me to be bright.\"" I \""Business conditions on the whole ap pear to me personally, to be very good, said Charles A.",improve,improve,hedged,1.0
Welch,"the tucumcari news and tucumcari times (tucumcari, n.m.) 1907-1921",new mexico,1908-03-07,1907 Panic,"Welch of the Welch hard ware Co., El Paso, was in town a day or two this week and was greatly pleased with the business outlook.",improve,improve,hedged,1.0
Ogdon Armour,"the commoner (lincoln, neb.) 1901-1923",nebraska,1908-04-17,1907 Panic,Ogdon Armour is re;orted as taking an optimistic view of the business outlook.,improve,improve,hedged,1.0
President Roosevelt,"the idaho scimitar (boise, idaho) 1907-1908",idaho,1907-11-30,1907 Panic,"Meanwhile such distinguished advisers as President Roosevelt and Secretary Cor tclyou protest that if the people will cease hoarding their money and will pour it into the stream of daily transactions, the stringency will disappear and panic will flee before the return of prosperity.",improve,improve,hedged,1.0
H,"the new york herald (new york, n.y.) 1920-1924",new york,1921-03-07,1920 Depression,An Improving International business outlook Is reported by H.,improve,improve,hedged,1.0
Teagle,"the abbeville press and banner (abbeville, s.c.) 1869-1924",south carolina,1921-01-03,1920 Depression,Teagle Forecast# an Early Wave of Buying if All Pull Together?,improve,improve,hedged,1.0
Percy H.,"the new york herald (new york, n.y.) 1920-1924",new york,1921-01-21,1920 Depression,A note of optimism regarding the general business outlook was sounded by Percy H.,improve,improve,hedged,1.0
Willard McGuire,"the mt. sterling advocate (mt. sterling, ky.) 1890-current",kentucky,1921-03-03,1920 Depression,"They believe in talking pros perity, not being \""down in the mouth,\"" feeling con-$; fident that there are better times ahead for all of those who are willing to hustle and push for business The members of this hustling firm, Willard and Dil lard McGuire, are two of Mt.",improve,improve,hedged,1.0
Meherin,"the alaska daily empire (juneau, alaska) 1912-1926",alaska,1921-02-28,1920 Depression,".Meherin, junior member of he brokerage firm of Olson Me-i liein,^ who returned today from a thrfee months' business trip in the Pacific Coast States, says that no matter what happens or what the conditions are elsewhere, Alaska is coming hack strong and although things mlghT not fee right up to a InO per cent in the North during 1921, look for 1922.",improve,improve,hedged,1.0
Aldrich,"the waterbury democrat (waterbury, conn.) 1917-1946",connecticut,1937-11-19,1937 Recession,"He declared that a bal anced budget was the chief factor, and that if the treasury reached that goal, \""the cornerstone of the foundation of true business recovery will have been laid.\"" Many Big Men Present Aldrich addressed the 169th an nual dinner meeting of the New York state Chamber of Commerce, of which he is president, and in the audience of 800 were: John D.",improve,improve,hedged,1.0
Chairman Carlisle,"the daily alaska empire (juneau, alaska) 1926-1964",alaska,1937-11-24,1937 Recession,"Chairman Carlisle gave added in dications of progress in the Presi dent\u2019s efforts to meet what Roose velt calls \""a crying need for ex pansion\"" in the power industry, to aid the general business outlook.",improve,improve,hedged,1.0
Shrove,"the nome nugget (nome, alaska) 1938-current",alaska,1949-05-04,1948 Recession,"Shrove, in the keynote address of the chamber\u2019s 37th an nual meeting, also told some 2,500 i business leaders: \u201cWhen the current readjustment has run its course, and buying for i n ventory replacement revives, business should find itself on a sounder and infinitely more satis factory basis.\u201d The shut to a more solid and orderly pattern of prosperity\u201d will be blocked or delayed, Shreve said, if the government raises taxes and lays down economic controls\u2014as proposed by Presi dent Truman\u2014or embarks on a policy of in-the-red financing.",improve,improve,hedged,1.0
President Eisenhower,"toledo union journal (toledo, ohio) 1942-current",ohio,1958-06-27,1957 Recession,"Time Marches On \""FHERE ARE grounds for expecting that the decline in business activity need not be long.\u201d (President Eisenhower in his Economic Report to Congress, Jan.",improve,improve,hedged,1.0
Cruikshank,"toledo union journal (toledo, ohio) 1942-current",ohio,1958-04-11,1957 Recession,"He noted that there now is a Fede l ral program for long-term, low: interest rates for municipalities' and he plans to put details of this) tion which would shore up the state systems so that the fed eral government will not have to step in again each time a fu ture recession threatens.\u201d 1 Cruikshank asserted that by \u201cbold and imaginative \u2019\u2019ac tion, \u201cwe can turn the threats and dangers of this recession, and even its accompanying hu man suffering, into opportu nity to build stronger defenses 1 for our free economy and our 1 democratic way of life.\u201d Sec.",improve,improve,hedged,1.0
Arthur H Motley,"evening star (washington, d.c.) 1854-1972",district of columbia,1958-01-29,1957 Recession,"Arthur H Motley, publisher of Parade, a weekly magazine, told the Board of Trade an nual business outlook confer ence: \""Just as the peak of the boom passed two years ago, the bottom of whatever it is we're in may be behind, not ahead of us.",improve,improve,hedged,1.0
William R.,"evening star (washington, d.c.) 1854-1972",district of columbia,1957-10-21,1957 Recession,"Graagtr by all segments of the secur ities industry.\u201d Inflation DUemma Been Throughout Free World How to stop inflation with out stopping the boom worries monetary authorities and clouds the business outlook throughout the free world, re ported William R.",worsen,worsen,hedged,1.0
Roger M.,"evening star (washington, d.c.) 1854-1972",district of columbia,1958-05-10,1957 Recession,"\""A speck more optimism\u201d over the business outlook since the group met last in March was reported by Roger M.",improve,improve,hedged,1.0
