date,year,quarter,forecast_growth,predicted_label,realized_label,hit
1968-10-01,1968,4,3.079,improve,improve,1
1969-01-01,1969,1,3.3,improve,no_change,0
1969-04-01,1969,2,2.304,improve,no_change,0
1969-07-01,1969,3,1.901,improve,worsen,0
1969-10-01,1969,4,1.602,improve,worsen,0
1970-01-01,1970,1,2.287,improve,no_change,0
1970-04-01,1970,2,3.365,improve,no_change,0
1970-07-01,1970,3,3.39,improve,no_change,0
1970-10-01,1970,4,4.274,improve,improve,1
1971-01-01,1971,1,4.258,improve,improve,1
1971-04-01,1971,2,4.771,improve,improve,1
1971-07-01,1971,3,5.817,improve,improve,1
1971-10-01,1971,4,5.944,improve,improve,1
1972-01-01,1972,1,5.887,improve,improve,1
1972-04-01,1972,2,5.696,improve,improve,1
1972-07-01,1972,3,5.291,improve,improve,1
1972-10-01,1972,4,5.016,improve,improve,1
1973-01-01,1973,1,4.27,improve,improve,1
1973-04-01,1973,2,3.436,improve,no_change,0
1973-07-01,1973,3,2.537,improve,no_change,0
1973-10-01,1973,4,0.967,no_change,no_change,1
1974-01-01,1974,1,2.366,improve,worsen,0
1974-04-01,1974,2,3.694,improve,worsen,0
1974-07-01,1974,3,2.158,improve,worsen,0
1974-10-01,1974,4,1.914,improve,worsen,0
1975-01-01,1975,1,3.334,improve,improve,1
1975-04-01,1975,2,5.295,improve,improve,1
1975-07-01,1975,3,6.173,improve,improve,1
1975-10-01,1975,4,5.408,improve,improve,1
1976-01-01,1976,1,5.573,improve,improve,1
1976-04-01,1976,2,5.244,improve,improve,1
1976-07-01,1976,3,5.101,improve,improve,1
1976-10-01,1976,4,5.368,improve,improve,1
1977-01-01,1977,1,6.115,improve,improve,1
1977-04-01,1977,2,5.258,improve,improve,1
1977-07-01,1977,3,4.574,improve,improve,1
1977-10-01,1977,4,3.997,improve,improve,1
1978-01-01,1978,1,3.905,improve,improve,1
1978-04-01,1978,2,3.127,improve,improve,1
1978-07-01,1978,3,2.007,improve,improve,1
1978-10-01,1978,4,1.623,improve,no_change,0
1979-01-01,1979,1,0.456,no_change,no_change,1
1979-04-01,1979,2,0.335,no_change,no_change,1
1979-07-01,1979,3,0.401,no_change,worsen,0
1979-10-01,1979,4,-0.446,no_change,worsen,0
1980-01-01,1980,1,-0.075,no_change,no_change,1
1980-04-01,1980,2,0.371,no_change,no_change,1
1980-07-01,1980,3,2.407,improve,improve,1
1980-10-01,1980,4,2.856,improve,no_change,0
1981-01-01,1981,1,2.969,improve,worsen,0
1981-04-01,1981,2,3.09,improve,worsen,0
1981-07-01,1981,3,3.487,improve,worsen,0
1981-10-01,1981,4,3.041,improve,worsen,0
1982-01-01,1982,1,3.64,improve,no_change,0
1982-04-01,1982,2,3.338,improve,no_change,0
1982-07-01,1982,3,3.238,improve,improve,1
1982-10-01,1982,4,3.504,improve,improve,1
1983-01-01,1983,1,3.841,improve,improve,1
1983-04-01,1983,2,4.748,improve,improve,1
1983-07-01,1983,3,4.138,improve,improve,1
1983-10-01,1983,4,4.318,improve,improve,1
1984-01-01,1984,1,3.9,improve,improve,1
1984-04-01,1984,2,3.398,improve,no_change,0
1984-07-01,1984,3,3.164,improve,no_change,0
1984-10-01,1984,4,3.314,improve,no_change,0
1985-01-01,1985,1,3.695,improve,no_change,0
1985-04-01,1985,2,3.217,improve,no_change,0
1985-07-01,1985,3,2.733,improve,no_change,0
1985-10-01,1985,4,2.945,improve,no_change,0
1986-01-01,1986,1,2.787,improve,no_change,0
1986-04-01,1986,2,3.652,improve,improve,1
1986-07-01,1986,3,2.929,improve,improve,1
1986-10-01,1986,4,2.9,improve,improve,1
1987-01-01,1987,1,2.926,improve,improve,1
1987-04-01,1987,2,2.822,improve,improve,1
1987-07-01,1987,3,2.829,improve,improve,1
1987-10-01,1987,4,2.184,improve,improve,1
1988-01-01,1988,1,2.143,improve,improve,1
1988-04-01,1988,2,2.648,improve,no_change,0
1988-07-01,1988,3,2.605,improve,no_change,0
1988-10-01,1988,4,2.521,improve,no_change,0
1989-01-01,1989,1,1.621,improve,no_change,0
1989-04-01,1989,2,1.524,improve,no_change,0
1989-07-01,1989,3,2.105,improve,improve,1
1989-10-01,1989,4,2.003,improve,no_change,0
1990-01-01,1990,1,2.308,improve,no_change,0
1990-04-01,1990,2,2.493,improve,worsen,0
1990-07-01,1990,3,1.198,improve,no_change,0
1990-10-01,1990,4,0.752,no_change,no_change,1
1991-01-01,1991,1,1.997,improve,no_change,0
1991-04-01,1991,2,2.704,improve,improve,1
1991-07-01,1991,3,2.816,improve,improve,1
1991-10-01,1991,4,2.817,improve,improve,1
1992-01-01,1992,1,2.838,improve,improve,1
1992-04-01,1992,2,3.156,improve,improve,1
1992-07-01,1992,3,2.686,improve,no_change,0
1992-10-01,1992,4,2.962,improve,improve,1
1993-01-01,1993,1,3.127,improve,improve,1
1993-04-01,1993,2,3.086,improve,improve,1
1993-07-01,1993,3,2.945,improve,improve,1
1993-10-01,1993,4,2.773,improve,improve,1
1994-01-01,1994,1,2.844,improve,improve,1
1994-04-01,1994,2,2.689,improve,improve,1
1994-07-01,1994,3,2.475,improve,improve,1
1994-10-01,1994,4,2.524,improve,improve,1
1995-01-01,1995,1,2.424,improve,no_change,0
1995-04-01,1995,2,2.531,improve,improve,1
1995-07-01,1995,3,2.696,improve,improve,1
1995-10-01,1995,4,2.499,improve,improve,1
1996-01-01,1996,1,2.389,improve,improve,1
1996-04-01,1996,2,2.044,improve,improve,1
1996-07-01,1996,3,2.034,improve,improve,1
1996-10-01,1996,4,2.2,improve,improve,1
1997-01-01,1997,1,2.215,improve,improve,1
1997-04-01,1997,2,2.203,improve,improve,1
1997-07-01,1997,3,2.437,improve,improve,1
1997-10-01,1997,4,2.346,improve,improve,1
1998-01-01,1998,1,2.249,improve,improve,1
1998-04-01,1998,2,2.244,improve,improve,1
1998-07-01,1998,3,2.475,improve,improve,1
1998-10-01,1998,4,1.871,improve,improve,1
1999-01-01,1999,1,2.35,improve,improve,1
1999-04-01,1999,2,2.574,improve,improve,1
1999-07-01,1999,3,2.551,improve,improve,1
1999-10-01,1999,4,2.912,improve,no_change,0
2000-01-01,2000,1,3.031,improve,no_change,0
2000-04-01,2000,2,2.962,improve,no_change,0
2000-07-01,2000,3,3.028,improve,worsen,0
2000-10-01,2000,4,3.261,improve,worsen,0
2001-01-01,2001,1,3.207,improve,worsen,0
2001-04-01,2001,2,2.81,improve,no_change,0
2001-07-01,2001,3,3.096,improve,no_change,0
2001-10-01,2001,4,2.523,improve,no_change,0
2002-01-01,2002,1,3.284,improve,improve,1
2002-04-01,2002,2,3.439,improve,no_change,0
2002-07-01,2002,3,3.195,improve,no_change,0
2002-10-01,2002,4,3.265,improve,no_change,0
2003-01-01,2003,1,3.389,improve,no_change,0
2003-04-01,2003,2,3.536,improve,improve,1
2003-07-01,2003,3,3.79,improve,improve,1
2003-10-01,2003,4,3.821,improve,improve,1
2004-01-01,2004,1,3.987,improve,improve,1
2004-04-01,2004,2,3.974,improve,improve,1
2004-07-01,2004,3,3.704,improve,improve,1
2004-10-01,2004,4,3.399,improve,no_change,0
2005-01-01,2005,1,3.486,improve,improve,1
2005-04-01,2005,2,3.387,improve,no_change,0
2005-07-01,2005,3,3.367,improve,no_change,0
2005-10-01,2005,4,3.35,improve,improve,1
2006-01-01,2006,1,3.22,improve,no_change,0
2006-04-01,2006,2,3.003,improve,improve,1
2006-07-01,2006,3,2.86,improve,improve,1
2006-10-01,2006,4,2.854,improve,improve,1
2007-01-01,2007,1,2.993,improve,improve,1
2007-04-01,2007,2,2.845,improve,no_change,0
2007-07-01,2007,3,2.733,improve,no_change,0
2007-10-01,2007,4,2.491,improve,worsen,0
2008-01-01,2008,1,2.507,improve,worsen,0
2008-04-01,2008,2,2.082,improve,worsen,0
2008-07-01,2008,3,1.734,improve,worsen,0
2008-10-01,2008,4,0.719,no_change,worsen,0
2009-01-01,2009,1,0.859,no_change,no_change,1
2009-04-01,2009,2,1.831,improve,improve,1
2009-07-01,2009,3,2.522,improve,improve,1
2009-10-01,2009,4,2.558,improve,improve,1
2010-01-01,2010,1,2.714,improve,improve,1
2010-04-01,2010,2,3.019,improve,improve,1
2010-07-01,2010,3,2.793,improve,improve,1
2010-10-01,2010,4,2.811,improve,improve,1
2011-01-01,2011,1,3.252,improve,improve,1
2011-04-01,2011,2,3.068,improve,improve,1
2011-07-01,2011,3,2.705,improve,improve,1
2011-10-01,2011,4,2.578,improve,no_change,0
2012-01-01,2012,1,2.669,improve,no_change,0
2012-04-01,2012,2,2.613,improve,no_change,0
2012-07-01,2012,3,2.222,improve,no_change,0
2012-10-01,2012,4,2.313,improve,improve,1
2013-01-01,2013,1,2.529,improve,no_change,0
2013-04-01,2013,2,2.668,improve,improve,1
2013-07-01,2013,3,2.693,improve,improve,1
2013-10-01,2013,4,2.797,improve,improve,1
2014-01-01,2014,1,2.939,improve,improve,1
2014-04-01,2014,2,3.096,improve,no_change,0
2014-07-01,2014,3,3.066,improve,no_change,0
2014-10-01,2014,4,2.91,improve,worsen,0
2015-01-01,2015,1,2.886,improve,worsen,0
2015-04-01,2015,2,2.87,improve,worsen,0
2015-07-01,2015,3,2.781,improve,no_change,0
2015-10-01,2015,4,2.617,improve,no_change,0
2016-01-01,2016,1,2.412,improve,no_change,0
2016-04-01,2016,2,2.386,improve,no_change,0
2016-07-01,2016,3,2.248,improve,no_change,0
2016-10-01,2016,4,2.208,improve,no_change,0
2017-01-01,2017,1,2.327,improve,improve,1
2017-04-01,2017,2,2.523,improve,improve,1
2017-07-01,2017,3,2.35,improve,improve,1
2017-10-01,2017,4,2.317,improve,improve,1
2018-01-01,2018,1,2.638,improve,no_change,0
2018-04-01,2018,2,2.695,improve,no_change,0
2018-07-01,2018,3,2.654,improve,no_change,0
2018-10-01,2018,4,2.408,improve,worsen,0
2019-01-01,2019,1,2.221,improve,no_change,0
2019-04-01,2019,2,2.002,improve,worsen,0
2019-07-01,2019,3,1.97,improve,worsen,0
2019-10-01,2019,4,1.788,improve,worsen,0
2020-01-01,2020,1,2.111,improve,no_change,0
2020-04-01,2020,2,6.99,improve,improve,1
2020-07-01,2020,3,4.609,improve,improve,1
2020-10-01,2020,4,3.38,improve,improve,1
2021-01-01,2021,1,4.515,improve,no_change,0
2021-04-01,2021,2,4.775,improve,improve,1
2021-07-01,2021,3,3.927,improve,no_change,0
2021-10-01,2021,4,3.518,improve,no_change,0
2022-01-01,2022,1,3.22,improve,no_change,0
2022-04-01,2022,2,2.299,improve,no_change,0
2022-07-01,2022,3,1.323,improve,no_change,0
2022-10-01,2022,4,0.834,no_change,no_change,1
2023-01-01,2023,1,0.831,no_change,no_change,1
2023-04-01,2023,2,0.994,no_change,no_change,1
2023-07-01,2023,3,1.142,improve,no_change,0
2023-10-01,2023,4,1.317,improve,no_change,0
2024-01-01,2024,1,1.637,improve,no_change,0
2024-04-01,2024,2,1.843,improve,no_change,0
2024-07-01,2024,3,1.866,improve,no_change,0
2024-10-01,2024,4,1.978,improve,no_change,0
2025-01-01,2025,1,2.101,improve,no_change,0
2025-04-01,2025,2,1.436,improve,no_change,0
2025-07-01,2025,3,1.529,improve,improve,1
2025-10-01,2025,4,1.704,improve,improve,1
2026-01-01,2026,1,2.143,improve,improve,1
2026-04-01,2026,2,1.911,improve,improve,1
